what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.jgit,1.3.0.201202151440-r,"org.eclipse.jgit",1353042256911
started,bundle,org.eclipse.m2e.discovery,1.0.200.20111228-1245,"org.eclipse.m2e.discovery",1353042256913
started,bundle,org.eclipse.m2e.logback.configuration,1.0.200.20111228-1245,"org.eclipse.m2e.logback.configuration",1353042256913
started,bundle,com.collabnet.subversion.merge,3.0.8,"com.collabnet.subversion.merge",1353042256913
started,bundle,org.tigris.subversion.clientadapter,1.8.2,"org.tigris.subversion.clientadapter",1353042256913
started,bundle,org.tigris.subversion.subclipse.core,1.8.10,"org.tigris.subversion.subclipse.core",1353042256913
started,bundle,org.tigris.subversion.subclipse.mylyn,3.0.0,"org.tigris.subversion.subclipse.mylyn",1353042256913
started,bundle,org.tigris.subversion.subclipse.tools.usage,1.1.0,"org.tigris.subversion.subclipse.tools.usage",1353042256913
started,bundle,org.tigris.subversion.subclipse.ui,1.8.10,"org.tigris.subversion.subclipse.ui",1353042256915
started,bundle,org.eclipse.emf.common,2.8.0.v20120911-0500,"org.eclipse.emf.common",1353042256915
started,bundle,org.eclipse.emf.common.ui,2.7.0.v20120917-0436,"org.eclipse.emf.common.ui",1353042256915
started,bundle,org.eclipse.emf.ecore,2.8.1.v20120911-0500,"org.eclipse.emf.ecore",1353042256915
started,bundle,org.eclipse.emf.ecore.xmi,2.8.0.v20120911-0500,"org.eclipse.emf.ecore.xmi",1353042256916
started,bundle,org.eclipse.emf.edit,2.8.0.v20120917-0436,"org.eclipse.emf.edit",1353042256916
started,bundle,org.eclipse.emf.edit.ui,2.8.0.v20120917-0436,"org.eclipse.emf.edit.ui",1353042256916
started,bundle,org.eclipse.wb.core,1.5.0.r37x201206111201,"org.eclipse.wb.core",1353042256916
started,bundle,org.eclipse.wb.core.lib,1.5.0.r37x201206111201,"org.eclipse.wb.core.lib",1353042256928
started,bundle,org.eclipse.wb.discovery.core,1.5.0.r37x201206111213,"org.eclipse.wb.discovery.core",1353042256929
started,bundle,org.eclipse.wb.discovery.ui,1.5.0.r37x201206111213,"org.eclipse.wb.discovery.ui",1353042256930
started,bundle,org.eclipse.wst.common.project.facet.core,1.4.300.v201111030424,"org.eclipse.wst.common.project.facet.core",1353042256930
os,sysinfo,,,"win32",1353042256935
arch,sysinfo,,,"x86",1353042256935
ws,sysinfo,,,"win32",1353042256935
locale,sysinfo,,,"en_US",1353042256935
processors,sysinfo,,,"4",1353042256936
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1353042256936
java.runtime.version,sysinfo,,,"1.6.0_33-b03",1353042256936
java.specification.name,sysinfo,,,"Java Platform API Specification",1353042256936
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1353042256936
java.specification.version,sysinfo,,,"1.6",1353042256936
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1353042256936
java.version,sysinfo,,,"1.6.0_33",1353042256936
java.vm.info,sysinfo,,,"mixed mode",1353042256936
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1353042256936
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1353042256936
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1353042256936
java.vm.specification.version,sysinfo,,,"1.0",1353042256936
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1353042256936
java.vm.version,sysinfo,,,"20.8-b03",1353042256936
started,bundle,org.eclipse.m2e.usagedata,1.0.200.20111228-1245,"org.eclipse.m2e.usagedata",1353042256942
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1353042257287
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1353042263573
started,bundle,org.eclipse.jst.ws.jaxws.dom.integration,1.0.101.v201201031437,"org.eclipse.jst.ws.jaxws.dom.integration",1353042266980
started,bundle,org.eclipse.jst.ws.jaxws.dom.ui,1.0.0.v201004171919,"org.eclipse.jst.ws.jaxws.dom.ui",1353042266992
started,bundle,org.eclipse.jst.servlet.ui,1.1.502.v201202011054,"org.eclipse.jst.servlet.ui",1353042267066
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1353042279728
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1353042286487
started,bundle,org.eclipse.ltk.core.refactoring,3.5.201.r372_v20111101-0700,"org.eclipse.ltk.core.refactoring",1353042288078
started,bundle,org.eclipse.ltk.ui.refactoring,3.6.0.v20110928-1453,"org.eclipse.ltk.ui.refactoring",1353042289471
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1353042289771
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1353042289955
started,bundle,org.eclipse.core.variables,3.2.500.v20110928-1503,"org.eclipse.core.variables",1353042290679
activated,view,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.views.AllMarkersView",1353042293218
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1353042293257
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.refresh",1353042305843
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.refresh",1353042309268
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.refresh",1353042310428
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.refresh",1353042311940
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.refresh",1353042313584
